采样时间,设备名称,卷标,分区1,分区2,分区3,分区4,分区5,分区6,分区7,分区8,分区9,分区10,分区11,纵向趋势,传动侧厚度,操作侧厚度
[2022/7/29 2:25:19],XYR0001,1,112.9457,113.3535,113.121,113.1584,112.875,112.8177,113.3733,112.6788,112.3229,112.1135,113.0486,112.8917,113.1346,112.6283
[2022/7/29 2:25:33],XYR0001,1,112.8366,113.5103,113.1124,113.1175,112.8186,112.7173,113.1748,112.6543,112.3419,112.1292,113.1223,112.8668,113.1377,112.6134
[2022/7/29 2:25:47],XYR0001,1,112.9386,113.3437,113.1127,113.1454,112.8847,112.8494,113.3777,112.7066,112.3895,112.1505,113.1238,112.9112,113.128,112.6622
[2022/7/29 2:26:01],XYR0001,1,112.8625,113.5292,113.1131,113.112,112.8046,112.7335,113.1869,112.6508,112.3426,112.1403,113.03,112.8641,113.1351,112.6314
[2022/7/29 2:26:15],XYR0001,1,112.9512,113.3679,113.1306,113.1519,112.871,112.8476,113.3905,112.6765,112.3529,112.1446,113.1063,112.9083,113.1322,112.662
[2022/7/29 2:26:29],XYR0001,1,112.9531,113.5782,113.1203,113.1229,112.8239,112.7418,113.2245,112.7459,112.5233,112.4691,113.5652,112.988,113.1497,112.7094
[2022/7/29 2:26:43],XYR0001,1,113.0949,113.4266,113.1686,113.2,112.9233,112.8902,113.4571,112.8151,112.6255,112.616,113.8943,113.1011,113.1677,112.8122
[2022/7/29 2:26:57],XYR0001,1,113.0348,113.6343,113.1797,113.1565,112.8071,112.766,113.2639,112.8017,112.6295,112.6669,113.8819,113.0748,113.1837,112.8203
[2022/7/29 2:27:10],XYR0001,1,113.1194,113.4547,113.1831,113.2203,112.9056,112.8813,113.467,112.8435,112.6518,112.6713,113.9474,113.1223,113.188,112.8699
[2022/7/29 2:27:24],XYR0001,1,113.0437,113.6403,113.1796,113.1977,112.8652,112.7931,113.2999,112.8275,112.6608,112.6851,113.9162,113.1008,113.2076,112.8599
[2022/7/29 2:27:38],XYR0001,1,113.1022,113.4313,113.1831,113.2397,112.9452,112.9157,113.5112,112.8802,112.6905,112.6935,113.9995,113.1447,113.2029,112.9069
[2022/7/29 2:27:52],XYR0001,1,113.0002,113.6274,113.186,113.1839,112.8873,112.8019,113.3097,112.8452,112.6696,112.704,113.9414,113.1051,113.2139,112.8824
[2022/7/29 2:28:06],XYR0001,1,113.1016,113.4616,113.1905,113.2284,112.9428,112.9211,113.5136,112.8942,112.6953,112.6951,113.9983,113.1493,113.209,112.9193
[2022/7/29 2:28:20],XYR0001,1,113.0711,113.665,113.2093,113.203,112.8806,112.8092,113.3174,112.8633,112.68,112.7116,113.8709,113.1165,113.2273,112.8935
[2022/7/29 2:28:34],XYR0001,1,113.1394,113.4691,113.2206,113.2456,112.9419,112.9216,113.498,112.886,112.7031,112.7016,113.9656,113.1539,113.2225,112.9226
[2022/7/29 2:28:48],XYR0001,1,113.0433,113.6555,113.1913,113.1995,112.8856,112.8092,113.3229,112.8592,112.6785,112.7037,113.946,113.1177,113.2288,112.8939
[2022/7/29 2:29:02],XYR0001,1,113.0962,113.4756,113.2053,113.2412,112.9361,112.898,113.5152,112.8898,112.707,112.7007,114.0417,113.1552,113.2203,112.9228
[2022/7/29 2:29:16],XYR0001,1,113.0337,113.6625,113.1957,113.1984,112.8864,112.8129,113.3211,112.8712,112.6806,112.7082,113.9591,113.1209,113.2296,112.8964
[2022/7/29 2:29:30],XYR0001,1,113.1295,113.5025,113.2282,113.2442,112.9555,112.9257,113.5227,112.8989,112.7116,112.6971,114.0178,113.1667,113.2314,112.9293
[2022/7/29 2:29:43],XYR0001,1,113.0354,113.6674,113.2099,113.2024,112.8758,112.8035,113.3489,112.8445,112.6815,112.7084,113.9538,113.121,113.2359,112.8981
[2022/7/29 2:29:57],XYR0001,1,113.1407,113.476,113.2347,113.2395,112.9263,112.899,113.5306,112.8865,112.6916,112.6987,114.016,113.1581,113.2258,112.924
[2022/7/29 2:30:11],XYR0001,1,113.0524,113.6591,113.2269,113.2246,112.8854,112.8131,113.3335,112.8285,112.6683,112.7104,113.9648,113.1243,113.2397,112.8921
[2022/7/29 2:30:25],XYR0001,1,113.1387,113.4936,113.2334,113.2688,112.9391,112.9057,113.5186,112.89,112.702,112.7076,114.0254,113.1657,113.2361,112.9237
[2022/7/29 2:30:40],XYR0001,1,113.086,113.6744,113.2337,113.2162,112.8903,112.797,113.3411,112.8761,112.695,112.7363,113.9061,113.132,113.2466,112.9029
